query,old pages,improved pages
mondego,0.7866810983553406,0.7181157914128546
machine learning,0.22826204852629095,0.4565240970525819
software engineering,0.0,0.0
security,0.0,0.0
student affairs,0.22826204852629095,0.5706551213157274
graduate courses,0.0,0.4565240970525819
Crista Lopes,0.0,0.6847861455788729
REST,0.4565240970525819,0.7989171698420183
computer games,0.11413102426314548,0.0
information retrieval,0.0,0.6005414150789907
 0.18138603167236497  0.4286063837333628
